ID,Titulo,Empresa,Area,Nivel,Cidade,Estado,Modalidade,Tipo_Contrato,Salario_Min,Salario_Max,Experiencia_Min_Anos,Requisitos,Beneficios,Descricao,Data_Publicacao,Vagas_Disponiveis,Link_Inscricao
257,Especialista em Redes Diretor,CyberDigital,Administração de Redes,Diretor,São Luís,MA,Remoto,CLT,15726,20738,9,"TCP/IP, Negociação, Gestão de tempo, Feedback construtivo, React, Scrum, Firewalls, Adaptabilidade","Vale-Refeição, Vale-Transporte, Plano de Saúde","Aut molestias incidunt illo debitis nihil velit. Repudiandae dolorum sequi animi assumenda perferendis esse cupiditate. Necessitatibus ad quaerat eius. Inventore harum facere cupiditate provident.
Numquam quia deserunt eum. Assumenda deleniti amet nostrum mollitia.
Asperiores enim velit. Dolorum temporibus illo nemo qui distinctio voluptate. Quod iure at veritatis eos eum.",08/05/2023,4,https://carreiras.cyberdigital.com.br/vaga/257
258,Arquiteto de Software Júnior,OrangeStack Soluções,Arquitetura de Software,Júnior,Teresina,PI,Presencial,Estágio,2971,9821,0,"Java, UML, API Design, Kotlin, Organização, Design Patterns, Oracle, Hadoop, Liderança, SOA","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Id asperiores perferendis optio soluta. Doloribus dolor suscipit aspernatur repellat incidunt. Dolor expedita eius laudantium.
Veritatis expedita et sequi omnis saepe atque illo. Libero natus repudiandae voluptatum tempore animi doloribus. Facere tempora amet recusandae.
Libero architecto aperiam consequuntur ex consequuntur ipsum. Molestiae cum fugiat error similique.",27/04/2024,4,https://carreiras.orangestacksoluções.com.br/vaga/258
259,Analista de BI Júnior,TopazData Systems,Business Intelligence,Júnior,Natal,RN,Híbrido,CLT,15516,25404,0,"C++, Python, Networking, Negociação, Mentalidade de crescimento, Kotlin, Tableau, Trabalho em equipe, PyTorch, SQL","Vale-Refeição, Vale-Transporte, Plano de Saúde","Dolorum explicabo perferendis adipisci sint nostrum. Ex officia earum. Vel voluptates debitis provident repellendus neque iure.
Aspernatur id ipsum rem perspiciatis. Rem ipsa officiis architecto veniam.
Iusto debitis numquam facilis deserunt eligendi corporis. Quis fuga dignissimos reiciendis odit.
Quibusdam molestiae quidem totam reiciendis. Molestiae repellendus sapiente sunt ad. Perferendis dolorem iste accusamus eius incidunt modi.",24/09/2024,5,https://carreiras.topazdatasystems.com.br/vaga/259
260,Especialista DevOps Sênior,LogicData S.A.,DevOps,Sênior,Porto Alegre,RS,Remoto,Estágio,17004,26213,2,"Azure, Negociação, Mentalidade de crescimento, AWS, Feedback construtivo, Kotlin, GCP, C#, CI/CD, Resolução de problemas","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Quae beatae neque et esse eveniet. Autem libero cum. Vero unde minima eligendi accusamus ea hic. Quas enim rerum molestiae ex modi.
Occaecati illum et quae quisquam totam necessitatibus. Nostrum nihil harum fugit doloribus praesentium nostrum cumque. Ullam esse id minima.
Sunt et iure laborum odit consequuntur nisi. Placeat voluptate ullam ut adipisci repudiandae similique maxime. Autem explicabo provident nemo dolor quidem doloremque. Animi at ratione eligendi temporibus reprehenderit.",15/03/2024,4,https://carreiras.logicdatasa.com.br/vaga/260
261,Especialista em Blockchain Pleno,LogicTechnologies,Blockchain,Pleno,São Luís,MA,Híbrido,Trainee,11546,17229,6,"Tomada de decisão, Docker, Spark, JavaScript, DApps, MongoDB, Hadoop, Smart Contracts, Criatividade","Vale-Refeição, Vale-Transporte, Plano de Saúde","Quibusdam deleniti amet accusamus esse eligendi laborum tempore. Nulla velit similique quod distinctio molestiae aperiam. Suscipit officiis quaerat in molestias laudantium reprehenderit.
Architecto consequatur nulla nihil sequi tempora pariatur. Officiis id perspiciatis consequuntur dignissimos saepe. Modi nobis recusandae illum nobis pariatur.
Impedit rem dicta corporis placeat illo quam saepe. Magni distinctio esse eos veritatis corrupti quae aspernatur.",09/06/2023,2,https://carreiras.logictechnologies.com.br/vaga/261
262,Especialista em Blockchain Gerente,NextSystems,Blockchain,Gerente,São Gonçalo,RJ,Presencial,Estágio,3608,11419,1,"C++, Criptografia, Scrum, Ethereum, Gestão de tempo, Empatia, Solidity, DApps, Git, Adaptabilidade, Smart Contracts","Vale-Refeição, Vale-Transporte, Plano de Saúde","Praesentium officiis voluptates laudantium dolore commodi suscipit magnam. Modi alias natus quae voluptate labore.
Expedita placeat dicta quam sed ad nam. Cumque quaerat voluptatum voluptas. Pariatur numquam sunt reiciendis vero inventore.
Sequi soluta illum dolor. Beatae totam porro quaerat delectus doloribus incidunt.
Odit deleniti voluptatum quae laudantium officiis unde.",16/04/2023,3,https://carreiras.nextsystems.com.br/vaga/262
263,Engenheiro de IoT Especialista,PrimeIT,IoT,Especialista,Brasília,DF,Presencial,Estágio,15661,24633,3,"Negociação, MQTT, Vue.js, Kubernetes, Arduino, Raspberry Pi, Trabalho em equipe, Protocolos IoT, Oracle, Scrum, Criatividade","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Ratione deleniti maxime nostrum corporis magnam ipsa suscipit. Dicta dolor corrupti rerum.
Quod amet ab eaque tempora. Ducimus sint vel fugiat repudiandae ea. Natus eum quas nesciunt.
Impedit sed labore eligendi laboriosam. Commodi optio nesciunt quisquam veniam. Facilis earum consequuntur autem enim optio.
Ipsam itaque amet optio mollitia. Illum excepturi nulla repellendus quisquam animi fugiat. Odit maiores odit itaque ratione.",04/03/2023,2,https://carreiras.primeit.com.br/vaga/263
264,Desenvolvedor de Banco de Dados Gerente,GoldenByte Systems,Banco de Dados,Gerente,Natal,RN,Presencial,Estágio,2502,3526,8,"Modelagem de Dados, PHP, Empatia, PyTorch, MongoDB, Adaptabilidade","Vale-Refeição, Vale-Transporte, Plano de Saúde","Pariatur deleniti quis officia. Nesciunt dignissimos minus aperiam beatae.
Exercitationem inventore amet et delectus. Recusandae quae odio maxime beatae.
Quas ducimus quibusdam quaerat aliquid sed. Laboriosam mollitia fuga autem ducimus fuga doloribus.
Quaerat veritatis expedita eos. Reprehenderit ipsam voluptatibus ut nam. Placeat totam consectetur corporis magnam doloribus molestias consectetur.",08/06/2024,4,https://carreiras.goldenbytesystems.com.br/vaga/264
265,Analista de BI Pleno,NextCompute Soluções,Business Intelligence,Pleno,São Gonçalo,RJ,Remoto,Temporário,7877,12628,10,"Reporting, Power BI, Negociação, Hadoop, SQL, Persuasão, Data Warehouse, Git","Vale-Refeição, Vale-Transporte, Plano de Saúde","Ea soluta et nobis optio. Recusandae dicta beatae ex. Vero molestiae ipsa fugit. Ipsam architecto suscipit modi pariatur.
Id rerum minus maiores quaerat expedita. Repudiandae ab dignissimos assumenda tempore.
Accusamus fugit nam rem commodi aperiam. Illo iusto sequi reiciendis maiores quos.
Iste numquam maiores odit perspiciatis eius necessitatibus in.
Est voluptatem accusantium pariatur ratione.
Quo veniam officia illo. Facere repellat illo accusantium voluptatum molestias hic.",06/08/2024,2,https://carreiras.nextcomputesoluções.com.br/vaga/265
266,Desenvolvedor Back-end Diretor,HyperData Inc.,Desenvolvimento Web,Diretor,Belém,PA,Presencial,Estágio,11916,21099,3,"Python, Angular, Node.js, Mentalidade de crescimento, Kubernetes, Trabalho em equipe, TensorFlow, React, Liderança","Vale-Refeição, Vale-Transporte, Plano de Saúde","Laudantium molestiae dicta ex maiores ipsa. Aliquid delectus et libero. Rem tenetur eaque commodi.
Quisquam dolores omnis quisquam harum alias ducimus. Corporis mollitia ea laudantium assumenda.
Voluptate similique officia voluptate nulla. Hic pariatur ea illum veritatis distinctio. Voluptate reprehenderit modi a nobis voluptatum fugiat.
Placeat minus distinctio architecto illum reprehenderit laborum. Ullam distinctio sint quidem aperiam magni consequatur.",18/11/2023,1,https://carreiras.hyperdatainc.com.br/vaga/266
267,Arquiteto de Soluções Júnior,FutureCompute Soluções,Arquitetura de Software,Júnior,Curitiba,PR,Presencial,Temporário,13823,18150,0,"UML, Networking, MySQL, Gerenciamento de conflitos, Design Patterns, Microserviços, MongoDB","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Culpa quaerat minima tenetur accusantium nisi. Et deleniti doloremque voluptatum possimus vel eius. Deleniti rerum facere omnis aut.
Praesentium recusandae cum eum mollitia explicabo provident optio. Hic itaque blanditiis porro voluptatibus consectetur.
Ullam amet ipsum odio quae esse. Saepe blanditiis voluptatum amet similique quibusdam eveniet. Inventore delectus possimus consequatur neque.
Earum vitae consectetur dolor at ratione. Necessitatibus tenetur dolores ab quisquam.",24/06/2023,5,https://carreiras.futurecomputesoluções.com.br/vaga/267
268,Engenheiro Full-Stack Diretor,OmniSystems,Desenvolvimento Full-Stack,Diretor,Duque de Caxias,RJ,Presencial,CLT,3580,11193,8,"Linux, Node.js, MySQL, Empatia, Spark, Organização, PostgreSQL, TypeScript","Vale-Refeição, Vale-Transporte, Plano de Saúde","Nulla et eligendi laboriosam. Dolor odit atque laudantium temporibus fugit. Autem deserunt commodi sint distinctio.
Distinctio possimus porro sunt magnam. Harum soluta consectetur consectetur. Doloremque sit soluta commodi eligendi facilis facere.
Nulla ratione ullam optio sint error a. Doloribus quas maxime harum. Quia nemo accusamus ullam.
Quam deserunt sequi saepe aut quis enim unde. Ipsa quas illum quos voluptatum ad fugiat.
Minima odit consequatur ea. Expedita esse omnis aliquid.",27/12/2023,2,https://carreiras.omnisystems.com.br/vaga/268
269,Help Desk Júnior,FutureTech,Suporte Técnico,Júnior,São Gonçalo,RJ,Híbrido,Trainee,14358,23298,0,"Troubleshooting, Gerenciamento de conflitos, Trabalho em equipe, JavaScript, Windows, Jenkins, MongoDB, Criatividade","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Laboriosam voluptatum magni nihil repudiandae quas. Dignissimos blanditiis esse.
Amet laborum voluptatum perferendis. Minus soluta cumque architecto id. Aliquid quos pariatur corporis asperiores.
Exercitationem accusamus reiciendis beatae. Temporibus doloremque in in sint voluptatibus recusandae. Soluta velit quibusdam assumenda.
Libero beatae fugiat commodi temporibus. Molestias sed vel eos quos. Ea quo aut.",21/06/2024,5,https://carreiras.futuretech.com.br/vaga/269
270,Desenvolvedor Blockchain Pleno,SmartTech,Blockchain,Pleno,São Gonçalo,RJ,Híbrido,PJ,10583,14172,4,"Azure, Power BI, Ethereum, Trabalho em equipe, TensorFlow, DApps, React, Smart Contracts, Criatividade","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Reiciendis dolorem assumenda sit. Vero minima deleniti molestiae vel rerum amet dolorem. Dolore libero sint.
Cum ducimus magnam eligendi nostrum aliquid sit. Nulla minus numquam nam. Qui animi dolorum dolores incidunt quae.
Veritatis numquam explicabo nostrum necessitatibus. Vel voluptatibus saepe reiciendis consequuntur modi veniam. Ex aliquam dolorum nostrum molestiae at.
Esse facilis quo odio similique. Id magni sequi quasi itaque.",11/04/2023,1,https://carreiras.smarttech.com.br/vaga/270
271,Especialista em Blockchain Pleno,InnoTech,Blockchain,Pleno,Duque de Caxias,RJ,Remoto,PJ,14195,22227,4,"Power BI, Liderança, Ethereum, Mentalidade de crescimento, Solidity, JavaScript, Smart Contracts","Vale-Refeição, Vale-Transporte, Plano de Saúde","Consequatur in at voluptas.
Dolorum velit numquam vero voluptatibus. Alias accusantium mollitia facere eveniet ab vel. Quod necessitatibus consequatur esse esse doloribus nesciunt explicabo.
Voluptatum facere ea similique reprehenderit quod eos modi. Sapiente molestiae facilis harum. Aliquam assumenda officiis totam.
Molestiae a inventore. Voluptatibus facere aspernatur architecto porro voluptate sapiente. Veritatis ad porro dolorum.",19/06/2023,2,https://carreiras.innotech.com.br/vaga/271
272,Especialista em Redes Pleno,GreenData Inc.,Administração de Redes,Pleno,Belo Horizonte,MG,Híbrido,PJ,7468,12785,9,"Angular, Organização, Roteadores, Flask, Trabalho em equipe, PyTorch, Kubernetes, Redis, Firewalls","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Est non quam saepe at. Unde totam quis eos quo.
Aliquam voluptas quisquam minus. Explicabo voluptatem eveniet magni sit mollitia.
Ut doloribus hic magni aliquam harum amet soluta.
Necessitatibus enim perferendis quidem quaerat mollitia beatae. Nostrum repellat atque temporibus ex voluptas amet. Eveniet ipsam cumque alias quaerat quae.
Veniam quasi adipisci consequatur.
Eaque assumenda assumenda rerum perferendis labore. Amet vitae ad dolore dicta.
Architecto a ab laudantium beatae.",13/09/2023,2,https://carreiras.greendatainc.com.br/vaga/272
273,Engenheiro de Dados Diretor,CyberDigital,Engenharia de Dados,Diretor,Guarulhos,SP,Híbrido,Trainee,2292,4219,2,"Python, Angular, Gestão de tempo, Tomada de decisão, Airflow, PHP, Spark, Organização, Trabalho em equipe, ETL, SQL, Hadoop, Rust","Vale-Refeição, Vale-Transporte, Plano de Saúde","Sunt ratione animi sed nihil consectetur.
Qui tempora nisi temporibus. Eius voluptas doloremque voluptates. Voluptates nobis ab error distinctio odit delectus.
Ex odio in inventore minima. Tempora ut ipsa perferendis eveniet natus ipsam. Atque omnis in hic error earum eligendi.
Voluptates fuga tenetur. Blanditiis quia eos blanditiis molestiae.
Consequatur quos quas tempora. Delectus voluptatibus recusandae rerum facilis porro.",12/03/2024,4,https://carreiras.cyberdigital.com.br/vaga/273
274,Administrador de Sistemas Pleno,PrimeSystems,Administração de Sistemas,Pleno,Florianópolis,SC,Remoto,Temporário,2100,3142,6,"Linux, Networking, Feedback construtivo, PowerShell, TensorFlow, Git, Rust","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Veniam incidunt consectetur fugiat sapiente. Repellat nulla deleniti numquam.
Assumenda voluptas saepe similique debitis veritatis iure adipisci. Atque provident dolore quaerat.
Rerum nobis tenetur. Voluptate quidem ab aliquam.
Velit earum necessitatibus nulla perferendis cupiditate facere. Dolorem rem et doloremque placeat occaecati. Similique accusantium incidunt maiores.",14/06/2023,2,https://carreiras.primesystems.com.br/vaga/274
275,Engenheiro de Dados Sênior,NextCloud Systems,Engenharia de Dados,Sênior,Duque de Caxias,RJ,Híbrido,Temporário,18104,24582,6,"Feedback construtivo, Airflow, Empatia, Gerenciamento de conflitos, MongoDB, Hadoop, Rust","Vale-Refeição, Vale-Transporte, Plano de Saúde","Quo totam natus nulla temporibus. Praesentium aliquam similique deleniti accusamus vero.
Maiores dicta laudantium voluptates recusandae laborum. Quae dicta quos placeat. Alias vitae eos iure similique illo.
Debitis fugit perspiciatis a nihil temporibus. Assumenda sequi quasi velit quam. Expedita necessitatibus sapiente vero labore labore.
Repellendus mollitia aliquam necessitatibus blanditiis quidem modi. Corrupti magnam quaerat quisquam similique adipisci odit.",28/08/2023,5,https://carreiras.nextcloudsystems.com.br/vaga/275
276,Arquiteto de Dados Gerente,RubyTech,Engenharia de Dados,Gerente,Recife,PE,Híbrido,CLT,11322,20516,5,"Azure, SQL, TensorFlow, Tomada de decisão, Gerenciamento de conflitos, Spark, Trabalho em equipe, JavaScript, ETL, Kubernetes, Criatividade","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Architecto totam assumenda cupiditate ab non quia beatae. Sed veniam rerum excepturi architecto. Minus nihil distinctio ipsum beatae earum.
Consectetur architecto occaecati. Possimus fuga cupiditate dicta praesentium iusto.
Delectus consectetur cum culpa rerum. Dolore id distinctio accusamus aliquid eaque.
Vel quam molestias consequuntur voluptate quidem. Dicta numquam molestiae quisquam distinctio ipsam.",21/08/2023,1,https://carreiras.rubytech.com.br/vaga/276
277,Analista de Redes Pleno,EmeraldSoft Systems,Administração de Redes,Pleno,Natal,RN,Remoto,Trainee,16441,17577,8,"Feedback construtivo, Tomada de decisão, MySQL, Vue.js, Roteadores, Persuasão, Firewalls","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Velit aperiam impedit eum. Ea quos vel nihil incidunt.
Qui ad molestias repudiandae praesentium saepe. Molestiae nesciunt nisi harum veritatis ea.
Sequi nesciunt possimus vel animi voluptatem.
Earum error consequuntur cupiditate repellendus nesciunt. Fugiat tempore dignissimos vero rerum.
Provident occaecati tenetur. Accusamus consectetur voluptatibus blanditiis.
Nemo excepturi consequuntur quibusdam id libero. Sapiente unde soluta aut sapiente sint.",10/01/2024,5,https://carreiras.emeraldsoftsystems.com.br/vaga/277
278,Desenvolvedor Web Diretor,BrainWare Inc.,Desenvolvimento Web,Diretor,São Gonçalo,RJ,Híbrido,CLT,18819,20813,10,"MySQL, Vue.js, Gerenciamento de conflitos, C#, Inteligência emocional, JavaScript, SQL, CI/CD, React","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Sapiente dolores impedit animi molestiae.
Numquam incidunt distinctio cumque. Voluptatum molestias culpa ea. Quod omnis quis voluptates.
Id ab minus. Autem repellendus aperiam sint repudiandae excepturi officia. Provident magnam labore exercitationem facere est.
Ab repellendus amet itaque tenetur quisquam vitae. Blanditiis fuga non tempora exercitationem corporis quas. Consectetur maxime provident maiores quidem voluptatum.",11/11/2023,1,https://carreiras.brainwareinc.com.br/vaga/278
279,Especialista em ML Sênior,NextCloud Ltda.,Machine Learning,Sênior,Florianópolis,SC,Presencial,PJ,5598,10384,5,"Azure, Negociação, NLP, Swift, Tomada de decisão, PostgreSQL, Algoritmos de ML, TensorFlow, Pensamento crítico, Cybersecurity, Scikit-Learn","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Minima quidem id quaerat. Magnam nostrum praesentium illo neque libero aliquid est.
Perspiciatis vel dolore unde vero voluptates. Architecto perspiciatis odit. Quod harum dolorem accusamus voluptatibus a illum sequi.
Aut neque deserunt sunt in fuga eos. Voluptas dolore eos tempore eos.
Delectus quae saepe dolorum est.
Rem officiis consequuntur omnis nulla pariatur. Praesentium facilis hic porro in aperiam. Ipsa deserunt quod quasi.",05/09/2023,4,https://carreiras.nextcloudltda.com.br/vaga/279
280,Analista de BI Sênior,CyberSystems,Business Intelligence,Sênior,Maceió,AL,Presencial,Temporário,8551,14173,10,"Reporting, Java, Power BI, Resolução de problemas, Gestão de tempo, Ética de trabalho, PHP, ETL, MongoDB, Data Warehouse, Cybersecurity, React","Vale-Refeição, Vale-Transporte, Plano de Saúde","Nesciunt officia sapiente doloremque quos. Tempore voluptatem hic et neque natus architecto. Provident nam repudiandae nobis quidem numquam dolor.
Minima itaque totam reprehenderit consectetur repellendus ipsum autem. Unde soluta commodi iure.
Aut explicabo magni tenetur dolorem quam consequuntur. Porro et accusamus consequatur. Occaecati neque temporibus vitae magnam quibusdam quidem.
Ipsum vitae provident facilis. Dicta soluta sapiente harum enim repellendus.",26/07/2024,1,https://carreiras.cybersystems.com.br/vaga/280
281,Analista de Redes Pleno,DevMatrix Inc.,Administração de Redes,Pleno,Florianópolis,SC,Remoto,Estágio,7596,17559,6,"Angular, Linux, Gestão de tempo, Agile, Roteadores, CI/CD, Firewalls, Adaptabilidade","Vale-Refeição, Vale-Transporte, Plano de Saúde","Itaque dignissimos maiores sit. Cumque cupiditate ducimus deserunt fuga occaecati.
Possimus ipsam ad facere cumque maxime. Iusto optio nulla ullam.
Impedit excepturi ipsa officiis earum. Eius beatae dolorum earum quidem. Consequuntur nemo inventore pariatur porro magnam.
Aperiam a laudantium similique consequatur perspiciatis magnam. Sed est aliquam eius doloribus amet. Fugit enim aspernatur ex voluptates ad praesentium.",23/08/2023,5,https://carreiras.devmatrixinc.com.br/vaga/281
282,Especialista DevOps Júnior,PrimeSystems,DevOps,Júnior,São Paulo,SP,Remoto,PJ,3400,7396,0,"Azure, Ética de trabalho, Windows Server, Docker, GCP, Trabalho em equipe, SQL, Criatividade","Vale-Refeição, Vale-Transporte, Plano de Saúde","Aspernatur alias quia pariatur corrupti nisi dolor voluptas. Omnis maxime vero quisquam occaecati aspernatur quia.
Aut voluptate impedit ex corporis et quisquam blanditiis. Quisquam fugit blanditiis necessitatibus.
Soluta aliquam eligendi praesentium esse. Quos nesciunt eligendi ab consequuntur. Laudantium sequi doloremque exercitationem non aspernatur mollitia.
Sequi sed natus sunt enim quos ad. Aspernatur temporibus cum voluptatibus impedit iusto.",26/11/2024,2,https://carreiras.primesystems.com.br/vaga/282
283,UI Designer Diretor,QuantumCode Tecnologia,UX/UI Design,Diretor,Duque de Caxias,RJ,Presencial,Trainee,6861,13056,7,"Mentalidade de crescimento, AWS, Adobe XD, Empatia, Figma, Kotlin, Ruby, Wireframing, Prototipagem, Oracle, Scrum, Usabilidade","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Natus nesciunt sunt ad. Amet deleniti velit unde quo quos velit. Culpa at fugit eligendi.
In non laboriosam illum adipisci perferendis ea. Corrupti rem ducimus nobis fugiat exercitationem repellat.
Ut nesciunt iste animi. Voluptas dolorem nulla culpa accusantium soluta. Magnam doloribus quaerat magnam odit minima.
Explicabo ullam nihil magni iure cupiditate omnis. Quisquam nostrum a expedita quas a.
Id itaque qui. Atque excepturi facere rerum. Perspiciatis placeat aperiam quae fuga saepe.",15/09/2023,5,https://carreiras.quantumcodetecnologia.com.br/vaga/283
284,UI Designer Pleno,ObsidianSystems,UX/UI Design,Pleno,Campinas,SP,Presencial,Temporário,13507,19360,10,"Sketch, Feedback construtivo, Empatia, Figma, SQL, CI/CD, Resiliência, Git, Usabilidade","Vale-Refeição, Vale-Transporte, Plano de Saúde","Hic consectetur amet consectetur harum ipsam ab. Soluta omnis est voluptatem recusandae.
Debitis quo cumque blanditiis dolore perspiciatis. Modi earum dolores vitae voluptatem. Delectus impedit quam.
Officiis quas illum temporibus ipsam. Saepe earum autem porro praesentium. Harum dolorem ratione nobis eos atque a.
Corporis cum nobis porro officia commodi quaerat. Sequi quas dolorem. Quibusdam consectetur architecto eveniet. Ea nobis magnam alias facere ab officiis.",09/11/2023,4,https://carreiras.obsidiansystems.com.br/vaga/284
285,Analista de BI Sênior,UltraIT,Business Intelligence,Sênior,Goiânia,GO,Híbrido,Estágio,8963,10883,10,"Reporting, Power BI, .NET, Node.js, Networking, Swift, Gerenciamento de conflitos, Organização, Comunicação, ETL, SQL, Scrum, Cybersecurity","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Sed accusantium totam repudiandae dolor. Quisquam distinctio vero est enim iste fugit. Ab aliquam aliquid id.
Est voluptate eligendi. Nam vel dicta labore.
Minima nulla ipsa debitis accusantium natus magnam modi. Deleniti eaque eius reiciendis optio numquam. Reiciendis veritatis vitae eos ipsum consectetur.
Doloribus dignissimos odio incidunt laboriosam. Doloribus laudantium non occaecati beatae optio sed.
Quod temporibus voluptatibus eligendi. Facere quam qui odio tempore fugiat.",02/09/2023,4,https://carreiras.ultrait.com.br/vaga/285
286,Arquiteto de Dados Sênior,GlobalTech,Engenharia de Dados,Sênior,São Paulo,SP,Remoto,Trainee,1893,7879,5,"C++, Python, Networking, Negociação, Kafka, NoSQL, Spark, ETL","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Molestiae doloribus debitis cumque placeat dolorum enim amet. Veniam nostrum dignissimos possimus dolorum pariatur.
Rem molestias maiores soluta saepe et. Quam ipsa molestias officia.
Non consequuntur veniam exercitationem provident eveniet temporibus modi. Necessitatibus hic quas animi. Impedit veritatis neque.
Aut ipsa temporibus voluptates.
Maxime expedita praesentium aliquam et quia. Quia minus amet praesentium.
Tenetur incidunt possimus temporibus possimus sequi.",23/02/2023,5,https://carreiras.globaltech.com.br/vaga/286
287,Cientista de Dados Pleno,PrimeTechnologies,Ciência de Dados,Pleno,Campinas,SP,Remoto,CLT,11573,19470,7,"R, Linux, Network Security, NumPy, Gerenciamento de conflitos, Ruby, Inteligência emocional, PyTorch, Hadoop, Scikit-Learn","Vale-Refeição, Vale-Transporte, Plano de Saúde","Officiis aut quibusdam sed quos. Perferendis illum vitae.
Aliquam tenetur voluptate. Dolorem optio suscipit ducimus ipsum laboriosam quos. Consequatur tenetur deserunt iusto quia corrupti possimus.
Cum provident esse pariatur modi. Dolore debitis neque voluptatem autem. Excepturi dolor labore doloribus sed consectetur.
Deleniti voluptatibus consequuntur expedita itaque. Voluptatem ex voluptas aspernatur quae inventore eos. Ipsa dignissimos dignissimos possimus et incidunt illo.",19/11/2023,4,https://carreiras.primetechnologies.com.br/vaga/287
288,Arquiteto de Software Diretor,CyberDigital,Arquitetura de Software,Diretor,Teresina,PI,Híbrido,PJ,17637,22604,5,"UML, Python, API Design, Feedback construtivo, Criatividade, Vue.js, Comunicação, Trabalho em equipe, Tableau, SOA","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Officiis nemo tempora quam aut quo. Ullam id nihil. Rerum nostrum facere error iure accusamus quae.
Excepturi repellat neque earum. Omnis adipisci dignissimos atque aperiam vero. Labore sit itaque laboriosam ad. Commodi dolorem praesentium quasi blanditiis error.
Non explicabo illum dicta unde. Qui voluptates dolorum sint quis. Voluptates reprehenderit aut culpa consequatur similique dolores. Quas aliquid itaque natus neque qui.",15/06/2023,5,https://carreiras.cyberdigital.com.br/vaga/288
289,Administrador de Redes Especialista,OmniData Soluções,Administração de Redes,Especialista,Fortaleza,CE,Presencial,Estágio,15105,23251,6,"TCP/IP, VPN, Gestão de tempo, Swift, Network Security, Roteadores, VLAN, Hadoop, Liderança","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Dicta sunt sapiente nemo. Quae illum magnam corporis.
Eos aut blanditiis esse.
Voluptate reiciendis ipsam inventore. Veniam libero architecto laborum iste ullam numquam architecto. Voluptatum sed maiores asperiores. Deleniti et eum tempore officiis officia corporis.
Praesentium dignissimos a aliquam quibusdam numquam.
Dicta quo magnam expedita unde vitae. Quos natus praesentium voluptate nisi consectetur. Laudantium velit maiores vitae.",27/02/2024,2,https://carreiras.omnidatasoluções.com.br/vaga/289
290,SRE Especialista,CrystalNet S.A.,DevOps,Especialista,Fortaleza,CE,Remoto,Temporário,6930,11834,9,"Networking, Feedback construtivo, Docker, Comunicação, Jenkins, TensorFlow, CI/CD, Liderança","Vale-Refeição, Vale-Transporte, Plano de Saúde","Consequuntur odit pariatur necessitatibus. Libero tempore eos et dolores officia.
Eveniet nihil cupiditate non maiores sit. Quam enim accusamus necessitatibus. Quasi magni aliquam commodi quas itaque.
Aliquam ipsa dolores vitae ad. Non blanditiis aut unde quos incidunt explicabo dignissimos. Tempora placeat enim deleniti.
Illum totam maiores vitae. Et exercitationem dolorum perspiciatis. Minus aperiam magnam voluptate.
Odit harum fuga impedit. Autem veniam dolores at.",10/12/2023,4,https://carreiras.crystalnetsa.com.br/vaga/290
291,Engenheiro de Machine Learning Gerente,BluePrint S.A.,Machine Learning,Gerente,Porto Alegre,RS,Presencial,CLT,10920,16617,1,"Python, NLP, Mentalidade de crescimento, TensorFlow, Swift, Windows Server, Docker, Organização, Tableau, Resolução de problemas","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Ex totam tempore veniam. Beatae facere laboriosam veniam nostrum autem. Ab dolore odio alias.
Incidunt odio quia eveniet enim corporis. Natus hic corrupti consequatur itaque quos a. Eius magni veritatis accusamus.
Illo provident voluptas quis aliquam quasi. At enim neque temporibus adipisci aliquid libero.
Iusto inventore eaque temporibus minima ipsum ut dolores. Officiis enim inventore minus ea maiores. Maiores eum enim quo voluptates quibusdam.",22/12/2024,2,https://carreiras.blueprintsa.com.br/vaga/291
